"","Date","new_case","cumCases"
"1",2020-04-01,470,470
"2",2020-04-02,486,956
"3",2020-04-03,353,1309
"4",2020-04-04,360,1669
"5",2020-04-05,402,2071
"6",2020-04-06,362,2433
"7",2020-04-07,337,2770
"8",2020-04-08,485,3255
"9",2020-04-09,523,3778
"10",2020-04-10,488,4266
"11",2020-04-11,347,4613
"12",2020-04-12,309,4922
"13",2020-04-13,174,5096
"14",2020-04-14,181,5277
"15",2020-04-15,192,5469
"16",2020-04-16,366,5835
"17",2020-04-17,384,6219
"18",2020-04-18,318,6537
"19",2020-04-19,243,6780
"20",2020-04-20,192,6972
"21",2020-04-21,277,7249
"22",2020-04-22,334,7583
"23",2020-04-23,143,7726
"24",2020-04-24,348,8074
"25",2020-04-25,162,8236
"26",2020-04-26,80,8316
"27",2020-04-27,108,8424
"28",2020-04-28,129,8553
"29",2020-04-29,117,8670
"30",2020-04-30,135,8805
"31",2020-05-01,138,8943
"32",2020-05-02,126,9069
"33",2020-05-03,94,9163
"34",2020-05-04,55,9218
"35",2020-05-05,29,9247
"36",2020-05-06,77,9324
"37",2020-05-07,74,9398
"38",2020-05-08,65,9463
"39",2020-05-09,53,9516
"40",2020-05-10,51,9567
"41",2020-05-11,19,9586
"42",2020-05-12,41,9627
"43",2020-05-13,31,9658
"44",2020-05-14,32,9690
"45",2020-05-15,44,9734
"46",2020-05-16,39,9773
"47",2020-05-17,13,9786
"48",2020-05-18,9,9795
"49",2020-05-19,47,9842
"50",2020-05-20,33,9875
"51",2020-05-21,8,9883
"52",2020-05-22,21,9904
"53",2020-05-23,10,9914
"54",2020-05-24,17,9931
"55",2020-05-25,11,9942
"56",2020-05-26,8,9950
"57",2020-05-27,8,9958
"58",2020-05-28,12,9970
"59",2020-05-29,9,9979
"60",2020-05-30,12,9991
"61",2020-05-31,6,9997
"62",2020-06-01,2,9999
"63",2020-06-02,8,10007
"64",2020-06-03,2,10009
"65",2020-06-04,4,10013
"66",2020-06-05,6,10019
"67",2020-06-06,8,10027
"68",2020-06-07,1,10028
"69",2020-06-08,4,10032
"70",2020-06-09,4,10036
"71",2020-06-10,3,10039
"72",2020-06-11,5,10044
"73",2020-06-12,0,10044
"74",2020-06-13,13,10057
"75",2020-06-14,7,10064
"76",2020-06-15,1,10065
"77",2020-06-16,1,10066
"78",2020-06-17,4,10070
"79",2020-06-18,8,10078
"80",2020-06-19,2,10080
"81",2020-06-20,3,10083
"82",2020-06-21,7,10090
"83",2020-06-22,2,10092
"84",2020-06-23,3,10095
"85",2020-06-24,3,10098
"86",2020-06-25,4,10102
"87",2020-06-26,5,10107
"88",2020-06-27,2,10109
"89",2020-06-28,11,10120
"90",2020-06-29,3,10123
"91",2020-06-30,8,10131
"92",2020-07-01,3,10134
"93",2020-07-02,20,10154
"94",2020-07-03,5,10159
"95",2020-07-04,4,10163
"96",2020-07-05,8,10171
"97",2020-07-06,1,10172
"98",2020-07-07,14,10186
"99",2020-07-08,7,10193
"100",2020-07-09,10,10203
"101",2020-07-10,11,10214
"102",2020-07-11,10,10224
"103",2020-07-12,16,10240
"104",2020-07-13,6,10246
"105",2020-07-14,19,10265
"106",2020-07-15,21,10286
"107",2020-07-16,29,10315
"108",2020-07-17,55,10370
"109",2020-07-18,34,10404
"110",2020-07-19,48,10452
"111",2020-07-20,42,10494
"112",2020-07-21,22,10516
"113",2020-07-22,36,10552
"114",2020-07-23,22,10574
"115",2020-07-24,30,10604
"116",2020-07-25,31,10635
"117",2020-07-26,19,10654
"118",2020-07-27,16,10670
"119",2020-07-28,24,10694
"120",2020-07-29,42,10736
"121",2020-07-30,112,10848
"122",2020-07-31,117,10965
"123",2020-08-01,46,11011
"124",2020-08-02,45,11056
"125",2020-08-03,22,11078
"126",2020-08-04,20,11098
"127",2020-08-05,41,11139
"128",2020-08-06,58,11197
"129",2020-08-07,183,11380
"130",2020-08-08,63,11443
"131",2020-08-09,58,11501
"132",2020-08-10,20,11521
"133",2020-08-11,65,11586
"134",2020-08-12,60,11646
"135",2020-08-13,84,11730
"136",2020-08-14,127,11857
"137",2020-08-15,120,11977
"138",2020-08-16,78,12055
"139",2020-08-17,46,12101
"140",2020-08-18,60,12161
"141",2020-08-19,59,12220
"142",2020-08-20,159,12379
"143",2020-08-21,116,12495
"144",2020-08-22,160,12655
"145",2020-08-23,145,12800
"146",2020-08-24,116,12916
"147",2020-08-25,119,13035
"148",2020-08-26,147,13182
"149",2020-08-27,132,13314
"150",2020-08-28,135,13449
"151",2020-08-29,151,13600
"152",2020-08-30,109,13709
"153",2020-08-31,65,13774
"154",2020-09-01,97,13871
"155",2020-09-02,163,14034
"156",2020-09-03,115,14149
"157",2020-09-04,273,14422
"158",2020-09-05,188,14610
"159",2020-09-06,179,14789
"160",2020-09-07,69,14858
"161",2020-09-08,105,14963
"162",2020-09-09,91,15054
"163",2020-09-10,147,15201
"164",2020-09-11,173,15374
"165",2020-09-12,138,15512
"166",2020-09-13,142,15654
"167",2020-09-14,55,15709
"168",2020-09-15,115,15824
"169",2020-09-16,159,15983
"170",2020-09-17,109,16092
"171",2020-09-18,176,16268
"172",2020-09-19,186,16454
"173",2020-09-20,173,16627
"174",2020-09-21,103,16730
"175",2020-09-22,119,16849
"176",2020-09-23,150,16999
"177",2020-09-24,248,17247
"178",2020-09-25,196,17443
"179",2020-09-26,216,17659
"180",2020-09-27,159,17818
"181",2020-09-28,183,18001
"182",2020-09-29,140,18141
"183",2020-09-30,155,18296
"184",2020-10-01,445,18741
"185",2020-10-02,191,18932
"186",2020-10-03,276,19208
"187",2020-10-04,261,19469
"188",2020-10-05,230,19699
"189",2020-10-06,189,19888
"190",2020-10-07,375,20263
"191",2020-10-08,491,20754
"192",2020-10-09,595,21349
"193",2020-10-10,561,21910
"194",2020-10-11,438,22348
"195",2020-10-12,328,22676
"196",2020-10-13,485,23161
"197",2020-10-14,657,23818
"198",2020-10-15,600,24418
"199",2020-10-16,704,25122
"200",2020-10-17,774,25896
"201",2020-10-18,800,26696
"202",2020-10-19,502,27198
"203",2020-10-20,490,27688
"204",2020-10-21,1422,29110
"205",2020-10-22,1325,30435
"206",2020-10-23,1550,31985
"207",2020-10-24,1729,33714
"208",2020-10-25,1468,35182
"209",2020-10-26,1129,36311
"210",2020-10-27,1526,37837
"211",2020-10-28,2143,39980
"212",2020-10-29,2109,42089
"213",2020-10-30,3012,45101
"214",2020-10-31,2697,47798
"215",2020-11-01,2300,50098
"216",2020-11-02,1544,51642
"217",2020-11-03,2298,53940
"218",2020-11-04,2436,56376
"219",2020-11-05,3264,59640
"220",2020-11-06,3297,62937
"221",2020-11-07,3815,66752
"222",2020-11-08,3362,70114
"223",2020-11-09,2223,72337
"224",2020-11-10,2763,75100
"225",2020-11-11,3082,78182
"226",2020-11-12,3564,81746
"227",2020-11-13,3605,85351
"228",2020-11-14,3578,88929
"229",2020-11-15,2792,91721
"230",2020-11-16,1966,93687
"231",2020-11-17,3124,96811
"232",2020-11-18,2972,99783
"233",2020-11-19,3753,103536
"234",2020-11-20,3468,107004
"235",2020-11-21,3567,110571
"236",2020-11-22,2956,113527
"237",2020-11-23,2540,116067
"238",2020-11-24,2194,118261
"239",2020-11-25,2660,120921
"240",2020-11-26,3980,124901
"241",2020-11-27,3418,128319
"242",2020-11-28,3498,131817
"243",2020-11-29,2617,134434
"244",2020-11-30,2003,136437
"245",2020-12-01,2535,138972
"246",2020-12-02,2782,141754
"247",2020-12-03,3581,145335
"248",2020-12-04,3708,149043
"249",2020-12-05,3607,152650
"250",2020-12-06,3444,156094
"251",2020-12-07,2550,158644
"252",2020-12-08,3145,161789
"253",2020-12-09,2427,164216
"254",2020-12-10,4197,168413
"255",2020-12-11,3883,172296
"256",2020-12-12,5098,177394
"257",2020-12-13,4092,181486
"258",2020-12-14,2829,184315
"259",2020-12-15,3320,187635
"260",2020-12-16,3817,191452
"261",2020-12-17,4402,195854
"262",2020-12-18,4211,200065
"263",2020-12-19,3834,203899
"264",2020-12-20,3869,207768
"265",2020-12-21,2583,210351
"266",2020-12-22,3082,213433
"267",2020-12-23,3357,216790
"268",2020-12-24,3837,220627
"269",2020-12-25,5010,225637
"270",2020-12-26,2523,228160
"271",2020-12-27,3337,231497
"272",2020-12-28,2782,234279
"273",2020-12-29,2655,236934
"274",2020-12-30,2986,239920
"275",2020-12-31,4800,244720
"276",2021-01-01,4805,249525
"277",2021-01-02,3165,252690
"278",2021-01-03,3419,256109
"279",2021-01-04,1682,257791
"280",2021-01-05,3151,260942
"281",2021-01-06,3638,264580
"282",2021-01-07,3596,268176
"283",2021-01-08,3388,271564
"284",2021-01-09,3100,274664
"285",2021-01-10,2167,276831
"286",2021-01-11,1715,278546
"287",2021-01-12,2134,280680
"288",2021-01-13,1884,282564
"289",2021-01-14,2076,284640
"290",2021-01-15,1079,285719
"291",2021-01-16,1929,287648
"292",2021-01-17,1369,289017
"293",2021-01-18,998,290015
"294",2021-01-19,957,290972
"295",2021-01-20,1359,292331
"296",2021-01-21,1003,293334
"297",2021-01-22,1198,294532
"298",2021-01-23,1030,295562
"299",2021-01-24,956,296518
"300",2021-01-25,533,297051
"301",2021-01-26,746,297797
"302",2021-01-27,2385,300182
"303",2021-01-28,572,300754
"304",2021-01-29,985,301739
"305",2021-01-30,792,302531
"306",2021-01-31,499,303030
"307",2021-02-01,510,303540
"308",2021-02-02,621,304161
"309",2021-02-03,629,304790
"310",2021-02-04,896,305686
"311",2021-02-05,668,306354
"312",2021-02-06,831,307185
"313",2021-02-07,496,307681
"314",2021-02-08,442,308123
"315",2021-02-09,701,308824
"316",2021-02-10,828,309652
"317",2021-02-11,708,310360
"318",2021-02-12,756,311116
"319",2021-02-13,689,311805
"320",2021-02-14,515,312320
"321",2021-02-15,241,312561
"322",2021-02-16,638,313199
"323",2021-02-17,492,313691
"324",2021-02-18,1042,314733
"325",2021-02-19,657,315390
"326",2021-02-20,1244,316634
"327",2021-02-21,718,317352
"328",2021-02-22,509,317861
"329",2021-02-23,1062,318923
"330",2021-02-24,895,319818
"331",2021-02-25,1304,321122
"332",2021-02-26,1174,322296
"333",2021-02-27,1285,323581
"334",2021-02-28,911,324492
"335",2021-03-01,603,325095
"336",2021-03-02,1228,326323
"337",2021-03-03,1272,327595
"338",2021-03-04,1487,329082
"339",2021-03-05,1505,330587
"340",2021-03-06,1539,332126
"341",2021-03-07,1229,333355
"342",2021-03-08,757,334112
"343",2021-03-09,1608,335720
"344",2021-03-10,1561,337281
"345",2021-03-11,1677,338958
"346",2021-03-12,1932,340890
"347",2021-03-13,2682,343572
"348",2021-03-14,1587,345159
"349",2021-03-15,841,346000
"350",2021-03-16,1901,347901
"351",2021-03-17,2191,350092
"352",2021-03-18,1761,351853
"353",2021-03-19,1917,353770
"354",2021-03-20,2044,355814
"355",2021-03-21,1586,357400
"356",2021-03-22,981,358381
"357",2021-03-23,1966,360347
"358",2021-03-24,2042,362389
"359",2021-03-25,1861,364250
"360",2021-03-26,2095,366345
"361",2021-03-27,1759,368104
"362",2021-03-28,1404,369508
"363",2021-03-29,728,370236
"364",2021-03-30,1130,371366
"365",2021-03-31,2317,373683
"366",2021-04-01,1633,375316
"367",2021-04-02,1567,376883
"368",2021-04-03,1563,378446
"369",2021-04-04,1185,379631
"370",2021-04-05,649,380280
"371",2021-04-06,507,380787
"372",2021-04-07,1111,381898
"373",2021-04-08,1241,383139
"374",2021-04-09,988,384127
"375",2021-04-10,1054,385181
"376",2021-04-11,871,386052
"377",2021-04-12,587,386639
"378",2021-04-13,883,387522
"379",2021-04-14,1081,388603
"380",2021-04-15,1085,389688
"381",2021-04-16,906,390594
"382",2021-04-17,940,391534
"383",2021-04-18,761,392295
"384",2021-04-19,497,392792
"385",2021-04-20,930,393722
"386",2021-04-21,1094,394816
"387",2021-04-22,1060,395876
"388",2021-04-23,1035,396911
"389",2021-04-24,976,397887
"390",2021-04-25,788,398675
"391",2021-04-26,535,399210
"392",2021-04-27,848,400058
"393",2021-04-28,963,401021
"394",2021-04-29,935,401956
"395",2021-04-30,788,402744
"396",2021-05-01,914,403658
"397",2021-05-02,329,403987
"398",2021-05-03,364,404351
"399",2021-05-04,721,405072
"400",2021-05-05,745,405817
"401",2021-05-06,850,406667
"402",2021-05-07,629,407296
"403",2021-05-08,537,407833
"404",2021-05-09,492,408325
"405",2021-05-10,247,408572
"406",2021-05-11,417,408989
"407",2021-05-12,493,409482
"408",2021-05-13,468,409950
"409",2021-05-14,453,410403
"410",2021-05-15,343,410746
"411",2021-05-16,277,411023
"412",2021-05-17,173,411196
"413",2021-05-18,306,411502
"414",2021-05-19,333,411835
"415",2021-05-20,293,412128
"416",2021-05-21,274,412402
"417",2021-05-22,234,412636
"418",2021-05-23,133,412769
"419",2021-05-24,150,412919
"420",2021-05-25,159,413078
"421",2021-05-26,255,413333
"422",2021-05-27,242,413575
"423",2021-05-28,189,413764
"424",2021-05-29,198,413962
"425",2021-05-30,150,414112
"426",2021-05-31,60,414172
